Departamento,Actividad,Duración,Precio,Calificación,Reseñas,Enlace
Amazonas,Iquitos: aventura de 2 días en la selva amazónica con alojamiento en lodge,2 días • Grupo reducido,347 USD,,,https://www.getyourguide.es/iquitos-l32156/iquitos-aventura-de-2-dias-en-la-selva-amazonica-con-alojamiento-en-lodge-t995295/?ranking_uuid=dd238086-b6dd-47c5-bbfa-e18291250928
Amazonas,Puerto Maldonado: Aventura de 4 días por la selva amazónica,4 días • Grupo reducido,600 USD,4.2,,https://www.getyourguide.es/puerto-maldonado-l2146/puerto-maldonado-aventura-de-4-dias-por-la-selva-amazonica-t872774/?ranking_uuid=dd238086-b6dd-47c5-bbfa-e18291250928
Amazonas,Desde Manaus: Excursión de 2 días a la Selva Amazónica y al Lago de Ipanema,2 días • Grupo reducido • Recogida disponible,180 USD,5,(2),https://www.getyourguide.es/manaos-l917/desde-manaus-excursion-de-2-dias-a-la-selva-amazonica-y-al-lago-de-ipanema-t418020/?ranking_uuid=dd238086-b6dd-47c5-bbfa-e18291250928
Amazonas,Manaos: Tour a pie de medio día por la selva amazónica,4 horas • Grupo reducido • Recogida disponible,150 USD,4.9,(11),https://www.getyourguide.es/manaos-l917/tour-a-pie-de-4-horas-por-la-selva-amazonica-t74652/?ranking_uuid=dd238086-b6dd-47c5-bbfa-e18291250928
Amazonas,Manaos: Cena espectáculo folclórico amazónico,2 horas • Grupo reducido • Recogida disponible,42 USD,3.3,(3),https://www.getyourguide.es/manaos-l917/manaos-cena-folclorica-amazonica-t202243/?ranking_uuid=dd238086-b6dd-47c5-bbfa-e18291250928
Amazonas,Manaos: Excursión nocturna de pesca de pirañas y observación de caimanes,5 horas • Grupo reducido • Recogida disponible,90 USD,4.5,(48),https://www.getyourguide.es/manaos-l917/observacion-de-caimanes-en-manaos-t31109/?ranking_uuid=dd238086-b6dd-47c5-bbfa-e18291250928
Áncash,Desde Huaraz: Caminata a la Laguna 69,"12,5 horas • Sin colas • Recogida disponible",32 USD,4.5,(76),https://www.getyourguide.es/ancash-l576/desde-huaraz-caminata-a-la-laguna-69-t539066/?ranking_uuid=49e82927-a968-4b98-903f-763b6526df9c
Áncash,Excursión en tierra desde el puerto de Salaverry,5 horas • Sin colas,80 USD,5,(4),https://www.getyourguide.es/trujillo-peru-l2870/excursion-en-tierra-desde-el-puerto-de-salaverry-t859731/?ranking_uuid=49e82927-a968-4b98-903f-763b6526df9c
Áncash,Huaraz: Full Day Laguna Parón + Vista Nevado Artesonraju,11 horas • Recogida disponible,38 USD,4.7,(6),https://www.getyourguide.es/huaraz-l360/huaraz-full-day-laguna-paron-vista-nevado-artesonraju-t831196/?ranking_uuid=49e82927-a968-4b98-903f-763b6526df9c
Áncash,Ancash: Senderismo a la Laguna de Parón con Entrada | Día Completo|,1 día • Grupo reducido • Recogida disponible,35 USD,3.7,(3),https://www.getyourguide.es/huaraz-l360/ancash-senderismo-a-la-laguna-de-paron-con-entrada-dia-completo-t805885/?ranking_uuid=49e82927-a968-4b98-903f-763b6526df9c
Áncash,Ancash: Senderismo a la Laguna de Parón con Entrada | Día Completo|,1 día • Grupo reducido • Recogida disponible,42 USD,4.1,(9),https://www.getyourguide.es/ancash-l576/ancash-trekking-a-la-laguna-paron-con-entrada-dia-completo-t522568/?ranking_uuid=49e82927-a968-4b98-903f-763b6526df9c
Áncash,Desde Huaraz: Excursión al Glaciar Pastoruri y Puya Raimondi,"9,5 horas • Sin colas • Recogida disponible",32 USD,4.2,(50),https://www.getyourguide.es/huaraz-l360/desde-huaraz-caminata-al-glaciar-pastoruri-t539250/?ranking_uuid=49e82927-a968-4b98-903f-763b6526df9c
Áncash,"Pirámides del Sol y de la Luna, Huanchaco y Chan Chan",8 horas • Grupo reducido,65 USD,3.8,(10),https://www.getyourguide.es/trujillo-peru-l2870/piramides-del-sol-y-de-la-luna-huanchaco-y-chan-chan-t811838/?ranking_uuid=49e82927-a968-4b98-903f-763b6526df9c
Áncash,Huaraz: Laguna Paron | Laguna Belleza Turquesa,10 horas • Sin colas • Recogida disponible,32 USD,4.3,(6),https://www.getyourguide.es/huaraz-l360/huaraz-laguna-paron-laguna-belleza-turquesa-t800366/?ranking_uuid=49e82927-a968-4b98-903f-763b6526df9c
Áncash,Huaraz: Monumento Chavin de Huantar y Excursión a la Laguna Querococha,1 día,40 USD,4.7,,https://www.getyourguide.es/chavin-de-huantar-l149399/huaraz-monumento-chavin-de-huantar-y-excursion-a-la-laguna-querococha-t968628/?ranking_uuid=49e82927-a968-4b98-903f-763b6526df9c
Áncash,Ancash: Senderismo a la Laguna de Parón con entrada | FULL DAY |,1 día • Recogida disponible,30 USD,4.2,,https://www.getyourguide.es/huaraz-l360/ancash-senderismo-a-la-laguna-de-paron-con-entrada-full-day--t701096/?ranking_uuid=49e82927-a968-4b98-903f-763b6526df9c
Áncash,Explorando el Monumento a Chavín de Huántar y la Laguna de Querococha,1 día • Recogida disponible,39 USD,4.5,,https://www.getyourguide.es/chavin-de-huantar-l149399/explorando-el-monumento-a-chavin-de-huantar-y-la-laguna-de-querococha-t658870/?ranking_uuid=49e82927-a968-4b98-903f-763b6526df9c
Áncash,Desde Ancash: Tour en Huaraz con Hotel |5D-4N|,5 días • Grupo reducido • Recogida disponible,250 USD,4.6,,https://www.getyourguide.es/huaraz-l360/maravilloso-huaraz-5-dias-4-noches-t522545/?ranking_uuid=49e82927-a968-4b98-903f-763b6526df9c
Áncash,Chan Chan: Palacios y Templos,5 horas • Grupo reducido • Recogida disponible,75 USD,4.9,,https://www.getyourguide.es/huanchaco-l219473/chan-chan-palacios-y-templos-t908807/?ranking_uuid=49e82927-a968-4b98-903f-763b6526df9c
Áncash,Desde Ancash: Tour fantástico en Huaraz 2D/1N,2 días • Grupo reducido • Recogida disponible,92 USD,4.6,,https://www.getyourguide.es/huaraz-l360/desde-ancash-huaraz-dos-dias-una-noche-t519909/?ranking_uuid=49e82927-a968-4b98-903f-763b6526df9c
Áncash,Desde Ancash: Aventura y senderismo en Huaraz 3DDías/2N,3 días • Grupo reducido • Recogida disponible,136 USD,4.6,,https://www.getyourguide.es/chavin-de-huantar-l149399/de-ansh-huaraz-exploradora-3-dias-2-noches-t520914/?ranking_uuid=49e82927-a968-4b98-903f-763b6526df9c
Áncash,Excursión a Chavín de Huántar,9 horas,35 USD,2.8,,https://www.getyourguide.es/chavin-de-huantar-l149399/excursion-a-chavin-de-huantar-t650055/?ranking_uuid=49e82927-a968-4b98-903f-763b6526df9c
Apurímac,Cusco: Medio Dia Tour Valle Sur: Tipon + Pikillaqta + Andahuaylias,6 horas • Recogida disponible,31 USD,4.8,,https://www.getyourguide.es/cuzco-l359/cusco-medio-dia-tour-valle-sur-tipon-pikillaqta-andahuaylias-t848205/?ranking_uuid=b9aac9cc-4d8a-4a7d-a3a7-c0d1ee8ecf7f
Apurímac,Trekking a Choquequirao 4 días,4 días • Grupo reducido,364 USD,4.7,(3),https://www.getyourguide.es/cuzco-l359/trekking-a-choquequirao-4-dias-t741743/?ranking_uuid=b9aac9cc-4d8a-4a7d-a3a7-c0d1ee8ecf7f
Apurímac,Desde Ayacucho: Excursión a Andahuaylas - 2 Días,2 días,160 USD,2.9,,https://www.getyourguide.es/ayacucho-l152602/desde-ayacucho-excursion-a-andahuaylas-2-dias-t902579/?ranking_uuid=b9aac9cc-4d8a-4a7d-a3a7-c0d1ee8ecf7f
Apurímac,Desde Cusco: Valle Sagrado +Maras y Moray Tour de día completo,1 día • Grupo reducido • Recogida disponible,27 USD,5,(1),https://www.getyourguide.es/cuzco-l359/desde-cusco-valle-sagrado-maras-y-moray-tour-de-dia-completo-t846379/?ranking_uuid=b9aac9cc-4d8a-4a7d-a3a7-c0d1ee8ecf7f
Apurímac,"Valle Sagrado Cusco: Chincheros, Maras, Moray, Ollantaytambo y Pisac",1 día,30 USD,4.7,,https://www.getyourguide.es/cuzco-l359/valle-sagrado-cusco-chincheros-maras-moray-ollantaytambo-y-pisac-t872597/?ranking_uuid=b9aac9cc-4d8a-4a7d-a3a7-c0d1ee8ecf7f
Apurímac,Desde Cusco: Caminata de 4 días a Choquequirao - Todo incluido,4 días • Recogida disponible,400 USD,4.5,,https://www.getyourguide.es/urubamba-l164518/desde-cusco-caminata-de-4-dias-a-choquequirao-todo-incluido-t849590/?ranking_uuid=b9aac9cc-4d8a-4a7d-a3a7-c0d1ee8ecf7f
Apurímac,Excursión al Valle Sagrado de los Incas,10 horas,34 USD,3.9,,https://www.getyourguide.es/cuzco-l359/excursion-al-valle-sagrado-de-los-incas-t781495/?ranking_uuid=b9aac9cc-4d8a-4a7d-a3a7-c0d1ee8ecf7f
Apurímac,Arequipa: Excursión Catarata de Pillones y Bosque de Piedras,1 día,32 USD,4.3,(3),https://www.getyourguide.es/arequipa-l2859/arequipa-excursion-catarata-de-pillones-y-bosque-de-piedras-t720800/?ranking_uuid=b9aac9cc-4d8a-4a7d-a3a7-c0d1ee8ecf7f
Apurímac,Traslado privado Valle Sagrado a Cusco,"1,5 horas • Sin colas • Grupo privado",35 USD,4.4,,https://www.getyourguide.es/urubamba-l164518/traslado-privado-valle-sagrado-a-cusco-t783883/?ranking_uuid=b9aac9cc-4d8a-4a7d-a3a7-c0d1ee8ecf7f
Apurímac,Abancay: Excursión Guiada al Santuario Nacional y Lagunas de Ampay,8 horas • Grupo reducido • Recogida disponible,59 USD,3.9,,https://www.getyourguide.es/peru-l168997/apurimac-excursion-al-santuario-nacional-de-ampay-t649469/?ranking_uuid=b9aac9cc-4d8a-4a7d-a3a7-c0d1ee8ecf7f
Apurímac,Desde Cusco: Trekking de 4 días a Choquequirao,4 días • Grupo reducido • Recogida disponible,1 826 USD,4.6,,https://www.getyourguide.es/cuzco-l359/desde-cusco-trekking-de-4-dias-a-choquequirao-t961642/?ranking_uuid=b9aac9cc-4d8a-4a7d-a3a7-c0d1ee8ecf7f
Apurímac,"Desde Cuzco: Excursión de un día a Pisac, Ollantaytambo y Chincheros",1 día,28 USD,3.8,,https://www.getyourguide.es/urubamba-l164518/desde-cuzco-excursion-de-un-dia-a-pisac-ollantaytambo-y-chincheros-t885852/?ranking_uuid=b9aac9cc-4d8a-4a7d-a3a7-c0d1ee8ecf7f
Apurímac,Choquequirao Ruta del Sol,4 días • Grupo reducido • Recogida disponible,560 USD,5,(1),https://www.getyourguide.es/peru-l168997/choquequirao-la-ruta-del-sol-t528351/?ranking_uuid=b9aac9cc-4d8a-4a7d-a3a7-c0d1ee8ecf7f
Apurímac,Selva peruana Parque Manu Cuatro días / tres noches,4 días • Recogida disponible,449 USD,5,(1),https://www.getyourguide.es/cuzco-l359/selva-peruana-parque-manu-cuatro-dias-tres-noches-t536671/?ranking_uuid=b9aac9cc-4d8a-4a7d-a3a7-c0d1ee8ecf7f
Apurímac,Arequipa: Cataratas de Pillones y Bosque de Piedras + Desayuno Incluido,10 horas • Recogida disponible,40 USD,4.8,,https://www.getyourguide.es/arequipa-l2859/arequipa-cataratas-de-pillones-y-bosque-de-piedras-desayuno-incluido-t842629/?ranking_uuid=b9aac9cc-4d8a-4a7d-a3a7-c0d1ee8ecf7f
Apurímac,Cusco: Ceremonia de San Pedro o Wachuma | Privado,8 horas,220 USD,3.6,,https://www.getyourguide.es/cuzco-l359/cusco-ceremonia-de-san-pedro-o-wachuma-privado-t769381/?ranking_uuid=b9aac9cc-4d8a-4a7d-a3a7-c0d1ee8ecf7f
Arequipa,Desde Arequipa: Excursión guiada de día completo al Cañón del Colca con comidas,14 horas,42 USD,4.6,(522),https://www.getyourguide.es/arequipa-l2859/desde-arequipa-excursion-guiada-de-dia-completo-al-canon-del-colca-con-comidas-t633161/?ranking_uuid=70f299c4-be0e-448d-98ff-0cbdeb884b4a
Arequipa,Desde Arequipa: Excursión de 2 días al Cañón del Colca con Traslado a Puno,2 días • Recogida disponible,98 USD,4.7,(753),https://www.getyourguide.es/arequipa-l2859/desde-arequipa-excursion-de-2-dias-al-canon-del-colca-con-traslado-a-puno-t141360/?ranking_uuid=70f299c4-be0e-448d-98ff-0cbdeb884b4a
Arequipa,Excursión de medio día a Arequipa al volcán Misti,6 horas • Sin colas,112 USD,,,https://www.getyourguide.es/arequipa-l2859/excursion-de-medio-dia-a-arequipa-al-volcan-misti-t1014130/?ranking_uuid=70f299c4-be0e-448d-98ff-0cbdeb884b4a
Arequipa,Excursión a la Laguna y Reserva Nacional de Salinas en Arequipa,8 horas • Recogida disponible,25 USD,4.4,(256),https://www.getyourguide.es/arequipa-l2859/excursion-a-la-reserva-y-laguna-de-salinas-desde-arequipa-8-horas-t660817/?ranking_uuid=70f299c4-be0e-448d-98ff-0cbdeb884b4a
Arequipa,Desde Arequipa: Caminata Ruta del Sillar,4 horas,11 USD,4.2,(236),https://www.getyourguide.es/arequipa-l2859/desde-arequipa-caminata-ruta-del-sillar-t681383/?ranking_uuid=70f299c4-be0e-448d-98ff-0cbdeb884b4a
Arequipa,Arequipa: Rafting en aguas bravas del río Chili con recogida en el hotel,3 horas • Recogida disponible,25 USD,4.8,(98),https://www.getyourguide.es/arequipa-l2859/arequipa-rafting-en-aguas-bravas-del-rio-chili-con-recogida-en-el-hotel-t829094/?ranking_uuid=70f299c4-be0e-448d-98ff-0cbdeb884b4a
Arequipa,Desde Arequipa: Excursión de un día al Cañón del Colca con traslado a Puno,1 día • Sin colas,65 USD,4.5,(112),https://www.getyourguide.es/arequipa-l2859/desde-arequipa-excursion-de-un-dia-al-canon-del-colca-con-traslado-a-puno-t611161/?ranking_uuid=70f299c4-be0e-448d-98ff-0cbdeb884b4a
Arequipa,Desde Arequipa: Excursión de senderismo de 2 días al Cañón del Colca,2 días • Grupo reducido • Recogida disponible,30 USD,4.8,(103),https://www.getyourguide.es/arequipa-l2859/desde-arequipa-excursion-de-senderismo-de-2-dias-al-canon-del-colca-t674298/?ranking_uuid=70f299c4-be0e-448d-98ff-0cbdeb884b4a
Arequipa,De Puno a Arequipa: Excursión de 2 días/1 noche al Cañón del Colca,2 días • Recogida disponible,99 USD,4.1,(51),https://www.getyourguide.es/chivay-l129313/de-puno-a-arequipa-excursion-de-2-dias1-noche-al-canon-del-colca-t367630/?ranking_uuid=70f299c4-be0e-448d-98ff-0cbdeb884b4a
Arequipa,Día de Aventura en Arequipa: Catarata de Pillones + Bosque de Rocas,9 horas • Recogida disponible,25 USD,4.6,(42),https://www.getyourguide.es/pampa-de-arrieros-l186440/dia-de-aventura-en-arequipa-catarata-de-pillones-bosque-de-rocas-t768340/?ranking_uuid=70f299c4-be0e-448d-98ff-0cbdeb884b4a
Arequipa,Taller sensorial con el mejor cacao de Perú.,"2,5 horas • Grupo reducido",45 USD,,,https://www.getyourguide.es/arequipa-l2859/taller-sensorial-con-el-mejor-cacao-de-peru-t1015183/?ranking_uuid=70f299c4-be0e-448d-98ff-0cbdeb884b4a
Arequipa,Arequipa: Laguna de Salinas Tour Precio de Oferta,8 horas • Recogida disponible,22 USD,4.5,(13),https://www.getyourguide.es/arequipa-l2859/arequipa-laguna-de-salinas-tour-precio-de-oferta-t832807/?ranking_uuid=70f299c4-be0e-448d-98ff-0cbdeb884b4a
Arequipa,Arequipa: Paseo por el Centro Histórico de la Ciudad,2 horas • Grupo reducido,15 USD,4.8,(61),https://www.getyourguide.es/arequipa-l2859/arequipa-paseo-por-el-centro-historico-de-la-ciudad-t883140/?ranking_uuid=70f299c4-be0e-448d-98ff-0cbdeb884b4a
Arequipa,Desde Arequipa: Excursión de 2 días al Cañón del Colca,2 días • Recogida disponible,49 USD,4.7,(168),https://www.getyourguide.es/arequipa-l2859/desde-arequipa-excursion-de-2-dias-al-canon-del-colca-t84825/?ranking_uuid=70f299c4-be0e-448d-98ff-0cbdeb884b4a
Arequipa,Arequipa: Recorrido por la ruta del Sillar + cañón de Culebrillas,4 horas,10 USD,4,(21),https://www.getyourguide.es/cordillera-de-los-andes-l173636/arequipa-recorrido-por-la-ruta-del-sillar-canon-de-culebrillas-t531585/?ranking_uuid=70f299c4-be0e-448d-98ff-0cbdeb884b4a
Arequipa,Desde Arequipa: Tour de 2 días de senderismo por el Cañón del Colca,2 días • Grupo reducido • Recogida disponible,48 USD,4.5,(165),https://www.getyourguide.es/arequipa-l2859/desde-arequipa-tour-de-2-dias-de-senderismo-por-el-canon-del-colca-t479643/?ranking_uuid=70f299c4-be0e-448d-98ff-0cbdeb884b4a
Ayacucho,Ayacucho: Cañones del Qorihuillca | Tour a los Siete Cañones,5 horas • Sin colas • Grupo reducido,35 USD,5,(1),https://www.getyourguide.es/ayacucho-l152602/ayacucho-canones-del-qorihuillca-tour-a-los-siete-canones-t645902/?ranking_uuid=949c52df-525f-4952-a31e-a2a8c55f0da1
Ayacucho,Ayacucho: Día Completo Aguas Turquesas Millpu,8 horas - 1 día • Grupo reducido • Recogida disponible,34 USD,4.3,(15),https://www.getyourguide.es/ayacucho-l152602/ayacucho-dia-completo-aguas-turquesas-millpu-t638228/?ranking_uuid=949c52df-525f-4952-a31e-a2a8c55f0da1
Ayacucho,Ayacucho: Entrada Centro EcoAventura,12 horas,42 USD,2.9,,https://www.getyourguide.es/ayacucho-l152602/ayacucho-entrada-centro-ecoaventura-t901760/?ranking_uuid=949c52df-525f-4952-a31e-a2a8c55f0da1
Ayacucho,Ayacucho: Millpu Aguas Turquesas | Pozas Turquesas Escondidas,12 horas • Sin colas,35 USD,4.4,,https://www.getyourguide.es/ayacucho-l152602/ayacucho-millpu-aguas-turquesas-pozas-turquesas-escondidas-t645883/?ranking_uuid=949c52df-525f-4952-a31e-a2a8c55f0da1
Ayacucho,Desde Ayacucho || Excursión a los 7 cañones de Qorihuillca,5 horas • Recogida disponible,40 USD,4.2,,https://www.getyourguide.es/ayacucho-l152602/desde-ayacucho-excursion-a-los-7-canones-de-qorihuillca-t556236/?ranking_uuid=949c52df-525f-4952-a31e-a2a8c55f0da1
Ayacucho,Ayacucho: Huaraca | Explora la Enigmática Arboleda de Piedra,7 horas • Sin colas,50 USD,4.4,,https://www.getyourguide.es/ayacucho-l152602/ayacucho-huaraca-explora-la-enigmatica-arboleda-de-piedra-t645956/?ranking_uuid=949c52df-525f-4952-a31e-a2a8c55f0da1
Ayacucho,Desde Ayacucho || Excursión a los 7 cañones de Qorihuillca,5 horas,50 USD,3.6,,https://www.getyourguide.es/ayacucho-l152602/desde-ayacucho-excursion-a-los-7-canones-de-qorihuillca-t750826/?ranking_uuid=949c52df-525f-4952-a31e-a2a8c55f0da1
Ayacucho,Desde Ayacucho: Agua Turquesa de Millpu,12 horas • Sin colas,34 USD,5,(1),https://www.getyourguide.es/ayacucho-l152602/desde-ayacucho-agua-turquesa-de-millpu-t528055/?ranking_uuid=949c52df-525f-4952-a31e-a2a8c55f0da1
Ayacucho,"Desde Ayacucho: Excursión a Vilcashuaman, la Ruta Inca",12 horas • Sin colas,30 USD,4.4,,https://www.getyourguide.es/ayacucho-l152602/desde-ayacucho-excursion-a-vilcashuaman-la-ruta-inca-t555827/?ranking_uuid=949c52df-525f-4952-a31e-a2a8c55f0da1
Ayacucho,Ayacucho | Relájate en las Termas de Collpa | Aguas termales,6 horas • Sin colas,35 USD,4.4,,https://www.getyourguide.es/ayacucho-l152602/ayacucho-relajate-en-las-termas-de-collpa-aguas-termales-t645918/?ranking_uuid=949c52df-525f-4952-a31e-a2a8c55f0da1
Ayacucho,Aventura épica en el Cenote Chapalla y Anjaramachay,1 día,47 USD,2.9,,https://www.getyourguide.es/ayacucho-l152602/aventura-epica-en-el-cenote-chapalla-y-anjaramachay-t901133/?ranking_uuid=949c52df-525f-4952-a31e-a2a8c55f0da1
Ayacucho,Desde Ayacucho || Excursión a los 7 cañones de Qorihuillca,5 horas,40 USD,3.9,,https://www.getyourguide.es/ayacucho-l152602/desde-ayacucho-excursion-a-los-7-canones-de-qorihuillca-t568800/?ranking_uuid=949c52df-525f-4952-a31e-a2a8c55f0da1
Ayacucho,Ayacucho : Sarhua | Valle de la Cascada,15 horas • Sin colas,62 USD,4.4,,https://www.getyourguide.es/ayacucho-l152602/ayacucho-sarhua-valle-de-la-cascada-t645985/?ranking_uuid=949c52df-525f-4952-a31e-a2a8c55f0da1
Ayacucho,Ayacucho: Volcán Pachapupum + Baños Termales Volcánicos,16 horas • Sin colas,68 USD,5,(1),https://www.getyourguide.es/ayacucho-l152602/ayacucho-volcan-pachapupum-banos-termales-volcanicos-t645931/?ranking_uuid=949c52df-525f-4952-a31e-a2a8c55f0da1
Ayacucho,Desde Ayacucho || Visita guiada de Ayacucho - City tour ||,4 horas • Recogida disponible,23 USD,4.2,,https://www.getyourguide.es/ayacucho-l152602/desde-ayacucho-visita-guiada-de-ayacucho-city-tour--t554947/?ranking_uuid=949c52df-525f-4952-a31e-a2a8c55f0da1
Ayacucho,Desde Ayacucho || Excursión a la Cultura Wari y Quinua ||,6 horas • Recogida disponible,26 USD,5,(1),https://www.getyourguide.es/ayacucho-l152602/desde-ayacucho-excursion-a-la-cultura-wari-y-quinua--t554917/?ranking_uuid=949c52df-525f-4952-a31e-a2a8c55f0da1
Cajamarca,Cajamarca: Excursión guiada a la ciudad + recojo,"3,5 horas • Recogida disponible",19 USD,3.8,,https://www.getyourguide.es/cajamarca-l116362/cajamarca-excursion-guiada-a-la-ciudad-recojo-t960282/?ranking_uuid=96b841c9-ea8b-4146-8b9d-0c8038f620e9
Cajamarca,Excursión a las Ventanillas de Otuzco y a la finca Tres Molinos,5 horas • Recogida disponible,30 USD,4.2,,https://www.getyourguide.es/cajamarca-l116362/excursion-a-las-ventanillas-de-otuzco-y-a-la-finca-tres-molinos-t559311/?ranking_uuid=96b841c9-ea8b-4146-8b9d-0c8038f620e9
Cajamarca,Cajamarca: Tour Valle de Namora + Taller de Guitarras y Laguna San Nicolás,5 horas • Recogida disponible,25 USD,3.8,,https://www.getyourguide.es/cajamarca-l116362/cajamarca-tour-valle-de-namora-taller-de-guitarras-y-laguna-san-nicolas-t965119/?ranking_uuid=96b841c9-ea8b-4146-8b9d-0c8038f620e9
Cajamarca,"Desde Cajamarca: Visita guiada al Bosque de Piedras ""Cumbemayo"" + recojo","3,5 horas • Recogida disponible",24 USD,3.8,,https://www.getyourguide.es/cajamarca-l116362/desde-cajamarca-visita-guiada-al-bosque-de-piedras-cumbemayo-recojo-t964157/?ranking_uuid=96b841c9-ea8b-4146-8b9d-0c8038f620e9
Cajamarca,Excursión a las Ventanillas de Otuzco + granja Tres Molinos,5 horas,30 USD,3.8,,https://www.getyourguide.es/cajamarca-l116362/excursion-a-las-ventanillas-de-otuzco-granja-tres-molinos-t840075/?ranking_uuid=96b841c9-ea8b-4146-8b9d-0c8038f620e9
Cajamarca,"Cajamarca: Tour a la Necrópolis Pre Inca Otuzco, Jardín Botánico y Hacienda","3,5 horas • Recogida disponible",24 USD,,,https://www.getyourguide.es/cajamarca-l116362/cajamarca-tour-a-la-necropolis-pre-inca-otuzco-jardin-botanico-y-hacienda-t963168/?ranking_uuid=96b841c9-ea8b-4146-8b9d-0c8038f620e9
Cajamarca,Cajamarca: tour de la ciudad | Cuarto del Rescate y joyas de la ciudad,3 horas • Sin colas,23 USD,4.4,,https://www.getyourguide.es/cajamarca-l116362/cajamarca-tour-de-la-ciudad-cuarto-del-rescate-y-joyas-de-la-ciudad-t796848/?ranking_uuid=96b841c9-ea8b-4146-8b9d-0c8038f620e9
Cajamarca,Cajamarca : Sulluscocha aventura extrema,8 horas,65 USD,4.4,,https://www.getyourguide.es/cajamarca-l116362/cajamarca-sulluscocha-aventura-extrema-t709865/?ranking_uuid=96b841c9-ea8b-4146-8b9d-0c8038f620e9
Cajamarca,Cajamarca | Granja de Otuzco,1 día • Grupo reducido,39 USD,3.9,,https://www.getyourguide.es/cajamarca-l116362/cajamarca-finca-de-porcon-y-otuzco-t685874/?ranking_uuid=96b841c9-ea8b-4146-8b9d-0c8038f620e9
Cajamarca,Cajamarca: Cumbemayo | Complejo arqueológico | Bosque de piedra,12 horas • Sin colas,23 USD,4.4,,https://www.getyourguide.es/cajamarca-l116362/cajamarca-cumbemayo-complejo-arqueologico-bosque-de-piedra-t796773/?ranking_uuid=96b841c9-ea8b-4146-8b9d-0c8038f620e9
Cajamarca,"Cajamarca: La Colpa, Llacanora & Baños del Inca Tour",4 horas • Recogida disponible,32 USD,3.8,,https://www.getyourguide.es/cajamarca-l116362/cajamarca-la-colpa-llacanora-banos-del-inca-tour-t962264/?ranking_uuid=96b841c9-ea8b-4146-8b9d-0c8038f620e9
